"","recid","ASVAB_gs","ASVAB_ar","ASVAB_wk","ASVAB_pc","ASVAB_no","ASVAB_cs","ASVAB_asi","ASVAB_mk","ASVAB_mc","ASVAB_ei","RSE1_1980","RSE2_1980","RES3_1980","RES4_1980","RES5_1980","RES6_1980","RES7_1980","RES8_1980","RES9_1980","RES10_1980","ROSENBERG_SCORE_1980","ROTTER_1A_1979","ROTTER_1B_1979","ROTTER_2A_1979","ROTTER_2B_1979","ROTTER_3A_1979","ROTTER_3B_1979","ROTTER_4A_1979","ROTTER_4B_1979","ROTTER_SCORE_1979","med","nsib","race","male","nuclear","urban","moth_age_birth","income","cross_sction","sex","fed","yob","ageASVAB","ageRES","ageROTTER","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"1204",3453,46,34,46,44,40,41,57,44,57,49,2,2,3,2,3,2,2,3,3,3,20,1,2,1,2,1,2,2,2,8,12,1,3,1,0,0,16,51.3871307373047,1,1,8,1964,17,16,15,10,11,12,12,12,12,12,12,12,12,0,0,0,3
"1205",3457,40,42,39,35,50,36,39,38,37,32,2,2,3,2,3,2,1,3,2,3,20,2,1,2,1,1,2,2,1,11,14,4,3,0,1,1,29,110.142181396484,1,2,12,1962,19,18,17,10,11,12,13,14,14,14,14,14,14,14,0,0,3
"1206",3459,50,54,55,59,53,53,39,60,42,49,2,2,3,2,4,2,2,3,2,2,19,1,1,1,1,1,1,2,1,4,12,2,3,0,1,1,20,52.2398567199707,1,2,12,1963,18,17,16,10,11,12,13,13,13,13,13,13,13,13,0,0,3
"1207",3460,44,42,38,44,41,40,42,38,42,51,2,2,3,2,3,2,2,2,2,2,17,1,1,1,1,1,2,2,2,6,12,2,3,1,1,1,21,38.8438339233398,1,1,12,1964,17,16,15,10,11,11,12,12,12,12,12,12,0,0,0,0,3
"1208",3461,62,62,61,56,47,55,57,65,59,63,1,1,4,1,4,1,1,4,4,4,30,1,1,1,2,2,2,2,1,7,16,5,3,1,1,1,24,69.6405487060547,1,1,13,1961,20,19,18,10,11,12,13,14,14,14,14,14,14,14,14,14,3
"1209",3462,38,45,54,56,50,52,66,43,57,58,1,1,4,1,4,1,1,4,4,4,30,1,1,1,1,1,1,1,1,7,16,5,3,1,1,1,25,72.9203414916992,1,1,13,1962,19,18,17,11,12,12,12,12,12,12,12,12,0,0,0,0,3
"1210",3463,38,49,48,59,47,51,44,48,52,53,1,1,4,1,4,1,1,3,3,3,27,1,1,2,2,1,1,2,2,7,16,5,3,1,1,1,26,82.3143310546875,1,1,13,1963,18,17,16,11,12,13,14,14,15,15,16,16,16,0,0,0,3
"1211",3464,62,62,60,59,49,44,64,66,67,63,2,2,4,2,3,2,2,3,3,3,21,1,2,1,1,1,1,1,2,7,12,3,3,1,1,1,25,52.7951049804688,1,1,16,1961,20,19,18,11,12,13,14,15,16,16,16,16,16,16,16,0,3
"1212",3465,48,61,55,56,57,54,48,58,46,49,1,1,4,1,4,2,2,3,3,4,26,1,2,2,2,1,1,2,2,8,12,3,3,0,1,1,27,102.231643676758,1,2,16,1963,18,17,16,11,12,12,12,12,12,12,12,12,12,0,0,0,3
"1213",3466,62,53,57,59,51,48,58,58,61,56,1,2,4,1,4,2,2,3,3,3,24,1,2,2,2,1,1,2,2,8,12,3,3,1,1,1,28,110.505645751953,1,1,16,1964,17,16,15,11,12,12,13,13,13,14,14,15,0,0,0,0,3
