"","recid","ASVAB_GS","ASVAB_AR","ASVAB_WK","ASVAB_PC","ASVAB_NO","ASVAB_CS","ASVAB_AI","ASVAB_SI","ASVAB_MK","ASVAB_MC","ASVAB_EI","ASVAB_AO","sex","moth_age_birth","cross_sction","med","race","nsib","nuclear","urban","income","fed","yob","AGE_ASVAB","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"83",288,-661,-86,-1632,-1366,18236,4193,-651,-557,-12,-299,-981,169,2,25,1,12,4,3,1,1,100.356826782227,12,1983,16,10,11,12,13,13,13,14,14,14,14,0,0,0,3
"84",291,-130,-611,335,386,22197,12508,-558,-1008,718,-797,35,-571,2,30,1,12,4,1,1,1,54.4504013061523,12,1980,19,10,11,11,11,11,11,11,11,11,11,11,11,11,3
"85",293,-74,64,124,924,26994,14448,-1236,-961,966,-173,-925,1253,2,24,1,12,2,3,1,1,85.8730926513672,12,1983,16,11,12,13,14,15,15,15,16,16,16,0,0,0,3
"86",296,-1260,-828,-1819,-1358,14511,7136,-1390,-1711,-1029,-1784,-908,-968,2,25,1,11,2,2,1,1,48.2753639221191,14,1981,18,10,11,12,12,13,14,15,16,16,16,16,16,0,3
"87",298,627,760,362,857,19707,9214,-873,-611,1301,46,-340,1550,2,35,1,18,4,3,1,1,67.5855102539062,16,1983,16,11,12,13,14,14,14,14,14,14,14,0,0,0,3
"88",301,-916,-2384,-1871,-1235,11922,-2234,-2337,-2347,-1708,-1825,-2802,-2266,2,21,1,12,4,2,0,1,37.332950592041,18,1981,18,10,11,12,13,14,15,16,16,0,0,0,0,0,3
"89",313,1317,1274,1051,1037,29352,12001,-1111,-131,2042,82,904,861,2,23,1,12,4,3,1,1,449.583801269531,16,1981,18,12,13,14,15,16,16,16,16,16,16,16,16,0,3
"90",319,-627,-142,-1225,-1024,27884,10079,-1913,-1251,9,-940,-1363,-808,2,26,1,14,4,2,1,1,85.8228759765625,16,1983,16,8,8,8,8,8,8,8,8,8,8,0,0,0,3
"91",322,-359,-1165,497,425,12603,2734,-1344,-1075,-13,-310,-539,-1606,2,25,1,13,4,2,0,1,30.0380058288574,12,1982,17,11,12,13,14,14,15,15,15,15,15,16,0,0,3
"92",323,2213,571,1292,825,23346,10449,59,3,1741,1357,2409,976,1,23,1,14,4,1,0,1,109.424163818359,15,1980,19,11,12,13,13,14,15,16,16,16,17,17,17,17,3
"93",337,-212,561,-135,-444,23598,9878,-851,-950,1035,-689,145,466,1,31,1,16,4,3,1,0,123.514289855957,16,1983,16,11,12,13,14,15,16,16,16,16,16,0,0,0,3
"94",338,1168,1096,761,662,28948,6440,-898,-1021,1602,-89,-1073,577,2,31,1,18,4,1,1,0,264.413818359375,20,1981,18,11,12,13,13,14,15,15,15,15,15,16,17,0,3
"95",339,-456,1007,-69,-378,32751,5855,-923,-1547,1535,-806,-1406,92,2,27,1,10,4,3,1,1,14.9896450042725,11,1981,18,11,12,13,14,15,16,16,16,16,16,16,16,0,3
"96",340,-1038,-682,-1325,-599,19812,7860,-1033,-1519,140,-814,-637,-75,1,30,1,11,4,3,1,1,19.2350521087646,9,1981,18,10,11,12,13,13,14,14,15,15,16,17,17,0,3
"97",362,-154,170,196,607,17675,3175,-1450,-1649,818,-375,-1833,1004,2,29,1,4,2,2,1,1,13.6457452774048,4,1981,18,11,12,12,12,12,12,12,12,12,12,13,13,0,3
